Track Name,Artist Name,Album Name,Popularity,Duration (ms),Track ID,Spotify URL
Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,73,235293,5OQsiBsky2k2kDKy2bX2eT,https://open.spotify.com/track/5OQsiBsky2k2kDKy2bX2eT
Everlong,Foo Fighters,The Colour And The Shape,80,250546,5UWwZ5lm5PKu6eKsHAGxOk,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",75,269373,7x8dCjCr0x6x2lXKujYD34,https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34
My Hero,Foo Fighters,The Colour And The Shape,72,260026,4dVbhS6OiYvFikshyaQaCN,https://open.spotify.com/track/4dVbhS6OiYvFikshyaQaCN
Best of You,Foo Fighters,In Your Honor,72,255626,5FZxsHWIvUsmSK1IAvm2pp,https://open.spotify.com/track/5FZxsHWIvUsmSK1IAvm2pp
Mr. Brightside,The Killers,Hot Fuss,84,222973,003vvx7Niy0yvhvHt4a68B,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
When You Were Young,The Killers,Sam's Town,75,220426,70wYA8oYHoMzhRRkARoMhU,https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU
Mr. Brightside,The Killers,Hot Fuss,84,222973,003vvx7Niy0yvhvHt4a68B,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
Somebody Told Me,The Killers,Hot Fuss,79,197200,6PwjJ58I4t7Mae9xfZ9l9v,https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v
One Empty Grave,A Sound of Thunder,The Lesser Key of Solomon,3,361973,6fsMJ0iW6k9TKx3fZdHSv6,https://open.spotify.com/track/6fsMJ0iW6k9TKx3fZdHSv6
Basket Case,Green Day,Dookie,81,181533,6L89mwZXSOwYl76YXfX13s,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s
When I Come Around,Green Day,Dookie,78,178000,1Dr1fXbc2IxaK1Mu8P8Khz,https://open.spotify.com/track/1Dr1fXbc2IxaK1Mu8P8Khz
American Idiot,Green Day,American Idiot,78,176346,6nTiIhLmQ3FWhvrGafw2zj,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,70,262333,5GorCbAP4aL0EJ16frG2hd,https://open.spotify.com/track/5GorCbAP4aL0EJ16frG2hd
Wake Me up When September Ends,Green Day,American Idiot,76,285653,3ZffCQKLFLUvYM59XKLbVm,https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm
